#,,Character,,Body,,Tires,,Gliders,Speed Ground,Speed Water,Speed Air,Speed Anti-Gravity,Acceleration,Weight,Handling Ground,Handling Water,Handling Air,Handling Anti-Gravity,Traction,MiniTurbo,Stats total,Speed + MT total
6001,12,"Metal Mario, Pink Gold Peach, Gold Mario",13,"Blue Falcon, Splat Buggy",7,"Button, Leaf Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4,4.5,4.25,3.25,3.5,3,3,2.5,4,2.75,3.5,42.5,7.75
6003,12,"Metal Mario, Pink Gold Peach, Gold Mario",13,"Blue Falcon, Splat Buggy",7,"Button, Leaf Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,3.75,4.5,4.5,3.25,3.75,3,3.25,2.5,3.75,2.5,3.5,42.5,7.75
6004,12,"Metal Mario, Pink Gold Peach, Gold Mario",13,"Blue Falcon, Splat Buggy",7,"Button, Leaf Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,3.75,4.25,4.5,3.5,3.5,3,3.25,2.75,3.75,2.5,3.75,42.5,7.75
6010,12,"Metal Mario, Pink Gold Peach, Gold Mario",13,"Blue Falcon, Splat Buggy",9,"Sponge, Cushion",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,3.75,4.75,4.25,3.25,3.5,2.75,2.5,3,3.5,3.5,3.75,42.5,7.75
6126,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",2,"Monster, Hot Monster, Ancient",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,4.25,4.25,4.75,2.75,4.25,2.25,2.25,2.75,2.75,4.5,3.75,42.5,7.75
6198,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",2,"Monster, Hot Monster, Ancient",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,4,4.25,4.25,3.25,4,2.75,2.25,3.25,2.5,4.25,4,42.5,7.75
6621,14,"Donkey Kong, Waluigi, Roy",2,"Pipe Frame, Varmint, City Tripper",9,"Sponge, Cushion",1,"Super Glider, Waddle Wing, Hylian Kite",3.75,4.25,4.75,3.5,3.75,3.5,3.25,2.5,2.75,3,3.5,4,42.5,7.75
6623,14,"Donkey Kong, Waluigi, Roy",2,"Pipe Frame, Varmint, City Tripper",9,"Sponge, Cushion",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.75,4,4.75,3.75,3.75,3.75,3.25,2.75,2.75,2.75,3.25,4,42.5,7.75
6624,14,"Donkey Kong, Waluigi, Roy",2,"Pipe Frame, Varmint, City Tripper",9,"Sponge, Cushion",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.5,4,4.5,3.75,4,3.5,3.25,2.75,3,2.75,3.25,4.25,42.5,7.75
6670,14,"Donkey Kong, Waluigi, Roy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,5.25,4,3.75,3.25,3.75,2.75,3.5,3,2.75,2.75,3.75,42.5,7.75
7125,15,"Wario, Dry Bowser",2,"Pipe Frame, Varmint, City Tripper",9,"Sponge, Cushion",1,"Super Glider, Waddle Wing, Hylian Kite",4,4.5,5,3.75,3.5,3.75,3,2.25,2.5,2.75,3.75,3.75,42.5,7.75
7127,15,"Wario, Dry Bowser",2,"Pipe Frame, Varmint, City Tripper",9,"Sponge, Cushion",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,4.25,5,4,3.5,4,3,2.5,2.5,2.5,3.5,3.75,42.5,7.75
7128,15,"Wario, Dry Bowser",2,"Pipe Frame, Varmint, City Tripper",9,"Sponge, Cushion",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,4.25,4.75,4,3.75,3.75,3,2.5,2.75,2.5,3.5,4,42.5,7.75
7174,15,"Wario, Dry Bowser",4,"Steel Driver, Tri-Speeder, Bone Rattelr",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,5.5,4.25,4,3,4,2.5,3.25,2.75,2.5,3,3.5,42.5,7.75
7610,16,"Bowser, Morton, Mii (Heavy)",2,"Pipe Frame, Varmint, City Tripper",4,"Slim, Wood, Crimson Slim",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,4.75,4.25,4.75,3.25,4,3.25,2.75,2.75,2.75,2.25,3.5,42.5,7.75
7874,16,"Bowser, Morton, Mii (Heavy)",9,"Biddybuggy (Buggybud), Mr. Scooty",7,"Button, Leaf Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4.25,4.25,4.5,4.25,3.25,3,2.5,2.75,3.25,2.75,4.25,42.5,7.75
7910,16,"Bowser, Morton, Mii (Heavy)",10,"Landship, Streetle",7,"Button, Leaf Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,5.25,4.5,4,4,3.25,2.75,2.75,2.5,2.5,3.25,4,42.5,7.75
7981,16,"Bowser, Morton, Mii (Heavy)",12,"Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow",7,"Button, Leaf Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4.5,5,4.75,3.5,3.75,2.75,2.25,2.25,3,3,3.5,42.5,7.75
7983,16,"Bowser, Morton, Mii (Heavy)",12,"Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow",7,"Button, Leaf Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,4.25,5,5,3.5,4,2.75,2.5,2.25,2.75,2.75,3.5,42.5,7.75
7984,16,"Bowser, Morton, Mii (Heavy)",12,"Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow",7,"Button, Leaf Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,4.25,4.75,5,3.75,3.75,2.75,2.5,2.5,2.75,2.75,3.75,42.5,7.75
7990,16,"Bowser, Morton, Mii (Heavy)",12,"Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow",9,"Sponge, Cushion",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,4.25,5.25,4.75,3.5,3.75,2.5,1.75,2.75,2.5,3.75,3.75,42.5,7.75
3649,8,"Peach, Daisy, Yoshi, Birdo",4,"Steel Driver, Tri-Speeder, Bone Rattelr",4,"Slim, Wood, Crimson Slim",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4.25,3.25,3.75,2.5,3.5,3.5,4.25,3.5,3.25,2.75,3.5,42.25,7.75
3651,8,"Peach, Daisy, Yoshi, Birdo",4,"Steel Driver, Tri-Speeder, Bone Rattelr",4,"Slim, Wood, Crimson Slim",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,4,3.25,4,2.5,3.75,3.5,4.5,3.5,3,2.5,3.5,42.25,7.75
3652,8,"Peach, Daisy, Yoshi, Birdo",4,"Steel Driver, Tri-Speeder, Bone Rattelr",4,"Slim, Wood, Crimson Slim",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,4,3,4,2.75,3.5,3.5,4.5,3.75,3,2.5,3.75,42.25,7.75
3810,8,"Peach, Daisy, Yoshi, Birdo",8,"Prancer, Sport Bike, Jet Bike",8,"Off-Road, Retro Off-Road, Triforce Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,4.25,3.5,3.75,3.25,2.75,3.25,3,3.75,3.25,3.75,3.75,42.25,7.75
3989,8,"Peach, Daisy, Yoshi, Birdo",13,"Blue Falcon, Splat Buggy",8,"Off-Road, Retro Off-Road, Triforce Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4,3.75,3.75,3.25,2.75,3,3,3,4,4,3.5,42.25,7.75
3991,8,"Peach, Daisy, Yoshi, Birdo",13,"Blue Falcon, Splat Buggy",8,"Off-Road, Retro Off-Road, Triforce Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,3.75,3.75,4,3.25,3,3,3.25,3,3.75,3.75,3.5,42.25,7.75
3992,8,"Peach, Daisy, Yoshi, Birdo",13,"Blue Falcon, Splat Buggy",8,"Off-Road, Retro Off-Road, Triforce Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,3.75,3.5,4,3.5,2.75,3,3.25,3.25,3.75,3.75,3.75,42.25,7.75
4310,9,"Tanooki Mario, Villager Male, Inkling Male",8,"Prancer, Sport Bike, Jet Bike",7,"Button, Leaf Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,3.75,3.75,3.75,3.75,2.25,3.75,3.5,3.75,3.75,2.5,4.25,42.25,7.75
4489,9,"Tanooki Mario, Villager Male, Inkling Male",13,"Blue Falcon, Splat Buggy",7,"Button, Leaf Tires",1,"Super Glider, Waddle Wing, Hylian Kite",3.75,3.5,4,3.75,3.75,2.25,3.5,3.5,3,4.5,2.75,4,42.25,7.75
4491,9,"Tanooki Mario, Villager Male, Inkling Male",13,"Blue Falcon, Splat Buggy",7,"Button, Leaf Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.75,3.25,4,4,3.75,2.5,3.5,3.75,3,4.25,2.5,4,42.25,7.75
4492,9,"Tanooki Mario, Villager Male, Inkling Male",13,"Blue Falcon, Splat Buggy",7,"Button, Leaf Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.5,3.25,3.75,4,4,2.25,3.5,3.75,3.25,4.25,2.5,4.25,42.25,7.75
4498,9,"Tanooki Mario, Villager Male, Inkling Male",13,"Blue Falcon, Splat Buggy",9,"Sponge, Cushion",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,3.25,4.25,3.75,3.75,2.25,3.25,3,3.5,4,3.5,4.25,42.25,7.75
4613,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",2,"Monster, Hot Monster, Ancient",1,"Super Glider, Waddle Wing, Hylian Kite",4,4,4.25,4.25,2.75,4.25,2.5,2.5,2.75,3,4.25,3.75,42.25,7.75
4615,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",2,"Monster, Hot Monster, Ancient",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,3.75,4.25,4.5,2.75,4.5,2.5,2.75,2.75,2.75,4,3.75,42.25,7.75
4616,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",2,"Monster, Hot Monster, Ancient",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,3.75,4,4.5,3,4.25,2.5,2.75,3,2.75,4,4,42.25,7.75
4658,10,"Mario, Ludwig, Mii (Medium)",4,"Steel Driver, Tri-Speeder, Bone Rattelr",4,"Slim, Wood, Crimson Slim",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,4.5,3.25,4.25,2.5,3.75,3.25,4,3.5,3,2.5,3.5,42.25,7.75
4685,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",2,"Monster, Hot Monster, Ancient",1,"Super Glider, Waddle Wing, Hylian Kite",3.75,3.75,4.25,3.75,3.25,4,3,2.5,3.25,2.75,4,4,42.25,7.75
4687,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",2,"Monster, Hot Monster, Ancient",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.75,3.5,4.25,4,3.25,4.25,3,2.75,3.25,2.5,3.75,4,42.25,7.75
4688,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",2,"Monster, Hot Monster, Ancient",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.5,3.5,4,4,3.5,4,3,2.75,3.5,2.5,3.75,4.25,42.25,7.75
4998,10,"Mario, Ludwig, Mii (Medium)",13,"Blue Falcon, Splat Buggy",8,"Off-Road, Retro Off-Road, Triforce Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,4.25,3.75,4.25,3.25,3,2.75,2.75,3,3.75,3.75,3.5,42.25,7.75
5045,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",2,"Monster, Hot Monster, Ancient",1,"Super Glider, Waddle Wing, Hylian Kite",4,4,4,3.75,3,4,3,2.75,3.25,3,3.75,3.75,42.25,7.75
5047,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",2,"Monster, Hot Monster, Ancient",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,3.75,4,4,3,4.25,3,3,3.25,2.75,3.5,3.75,42.25,7.75
5048,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",2,"Monster, Hot Monster, Ancient",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,3.75,3.75,4,3.25,4,3,3,3.5,2.75,3.5,4,42.25,7.75
5133,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",6,"Metal, Gold Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4.5,4.25,4.5,4,2.25,4.25,3.25,3,2.75,3.5,2.75,3.25,42.25,7.75
5135,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",6,"Metal, Gold Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.5,4,4.5,4.25,2.25,4.5,3.25,3.25,2.75,3.25,2.5,3.25,42.25,7.75
5136,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",6,"Metal, Gold Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.25,4,4.25,4.25,2.5,4.25,3.25,3.25,3,3.25,2.5,3.5,42.25,7.75
5173,11,"Luigi, Iggy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",7,"Button, Leaf Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4,4.5,3.5,3.5,3,3.5,3.25,4,3,3.5,2.75,3.75,42.25,7.75
5175,11,"Luigi, Iggy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",7,"Button, Leaf Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,4.25,3.5,3.75,3,3.75,3.25,4.25,3,3.25,2.5,3.75,42.25,7.75
5176,11,"Luigi, Iggy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",7,"Button, Leaf Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,4.25,3.25,3.75,3.25,3.5,3.25,4.25,3.25,3.25,2.5,4,42.25,7.75
5182,11,"Luigi, Iggy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",9,"Sponge, Cushion",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,4.25,3.75,3.5,3,3.5,3,3.5,3.5,3,3.5,4,42.25,7.75
5205,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",6,"Metal, Gold Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4,4.5,3.5,2.75,4,3.75,3,3.25,3.25,2.5,3.5,42.25,7.75
5207,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",6,"Metal, Gold Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,3.75,4.5,3.75,2.75,4.25,3.75,3.25,3.25,3,2.25,3.5,42.25,7.75
5208,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",6,"Metal, Gold Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,3.75,4.25,3.75,3,4,3.75,3.25,3.5,3,2.25,3.75,42.25,7.75
5230,11,"Luigi, Iggy",6,"Circuit Special, B Dasher, P-Wing",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,3.75,4,3.75,3.5,3,3.5,3.25,3.5,3.75,2.5,4,42.25,7.75
5821,12,"Metal Mario, Pink Gold Peach, Gold Mario",8,"Prancer, Sport Bike, Jet Bike",7,"Button, Leaf Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4.25,4.5,4,3,3.75,3.25,3,3,3.25,2.5,3.5,42.25,7.75
5823,12,"Metal Mario, Pink Gold Peach, Gold Mario",8,"Prancer, Sport Bike, Jet Bike",7,"Button, Leaf Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,4,4.5,4.25,3,4,3.25,3.25,3,3,2.25,3.5,42.25,7.75
5824,12,"Metal Mario, Pink Gold Peach, Gold Mario",8,"Prancer, Sport Bike, Jet Bike",7,"Button, Leaf Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,4,4.25,4.25,3.25,3.75,3.25,3.25,3.25,3,2.25,3.75,42.25,7.75
5830,12,"Metal Mario, Pink Gold Peach, Gold Mario",8,"Prancer, Sport Bike, Jet Bike",9,"Sponge, Cushion",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,4,4.75,4,3,3.75,3,2.5,3.5,2.75,3.25,3.75,42.25,7.75
5918,12,"Metal Mario, Pink Gold Peach, Gold Mario",11,"Sneeker, Gold Standard (Gold Kart), Master Cycle",4,"Slim, Wood, Crimson Slim",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,4,4.25,4.75,2.5,4.25,3.5,3,3.5,3.25,1.5,3.25,42.25,7.75
6009,12,"Metal Mario, Pink Gold Peach, Gold Mario",13,"Blue Falcon, Splat Buggy",9,"Sponge, Cushion",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,3.75,5,4,3,3.75,2.75,2.5,2.75,3.5,3.5,3.5,42.25,7.75
6011,12,"Metal Mario, Pink Gold Peach, Gold Mario",13,"Blue Falcon, Splat Buggy",9,"Sponge, Cushion",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,3.5,5,4.25,3,4,2.75,2.75,2.75,3.25,3.25,3.5,42.25,7.75
6012,12,"Metal Mario, Pink Gold Peach, Gold Mario",13,"Blue Falcon, Splat Buggy",9,"Sponge, Cushion",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,3.5,4.75,4.25,3.25,3.75,2.75,2.75,3,3.25,3.25,3.75,42.25,7.75
6125,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",2,"Monster, Hot Monster, Ancient",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4.25,4.5,4.5,2.5,4.5,2.25,2.25,2.5,2.75,4.5,3.5,42.25,7.75
6127,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",2,"Monster, Hot Monster, Ancient",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,4,4.5,4.75,2.5,4.75,2.25,2.5,2.5,2.5,4.25,3.5,42.25,7.75
6128,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",2,"Monster, Hot Monster, Ancient",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,4,4.25,4.75,2.75,4.5,2.25,2.5,2.75,2.5,4.25,3.75,42.25,7.75
6170,13,"Rosalina, Link, King Boo",4,"Steel Driver, Tri-Speeder, Bone Rattelr",4,"Slim, Wood, Crimson Slim",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,4.75,3.5,4.5,2.25,4,3,3.75,3.25,2.75,2.75,3.25,42.25,7.75
6197,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",2,"Monster, Hot Monster, Ancient",1,"Super Glider, Waddle Wing, Hylian Kite",4,4,4.5,4,3,4.25,2.75,2.25,3,2.5,4.25,3.75,42.25,7.75
6199,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",2,"Monster, Hot Monster, Ancient",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,3.75,4.5,4.25,3,4.5,2.75,2.5,3,2.25,4,3.75,42.25,7.75
6200,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",2,"Monster, Hot Monster, Ancient",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,3.75,4.25,4.25,3.25,4.25,2.75,2.5,3.25,2.25,4,4,42.25,7.75
6510,13,"Rosalina, Link, King Boo",13,"Blue Falcon, Splat Buggy",8,"Off-Road, Retro Off-Road, Triforce Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,4.5,4,4.5,3,3.25,2.5,2.5,2.75,3.5,4,3.25,42.25,7.75
6582,14,"Donkey Kong, Waluigi, Roy",1,"Standard Kart, The Duke, 300 SL Roadster",8,"Off-Road, Retro Off-Road, Triforce Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,5,4.25,4.5,3.25,4,2.5,2,3,2.75,3.25,3.25,42.25,7.75
6662,14,"Donkey Kong, Waluigi, Roy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,5.25,4,4.25,2.75,4.25,2.5,3.25,2.75,2.5,3,3.25,42.25,7.75
6669,14,"Donkey Kong, Waluigi, Roy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,5.25,4.25,3.5,3,4,2.75,3.5,2.75,2.75,2.75,3.5,42.25,7.75
6671,14,"Donkey Kong, Waluigi, Roy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,5,4.25,3.75,3,4.25,2.75,3.75,2.75,2.5,2.5,3.5,42.25,7.75
6672,14,"Donkey Kong, Waluigi, Roy",4,"Steel Driver, Tri-Speeder, Bone Rattelr",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,5,4,3.75,3.25,4,2.75,3.75,3,2.5,2.5,3.75,42.25,7.75
7086,15,"Wario, Dry Bowser",1,"Standard Kart, The Duke, 300 SL Roadster",8,"Off-Road, Retro Off-Road, Triforce Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.75,5.25,4.5,4.75,3,4.25,2.25,1.75,2.75,2.5,3.5,3,42.25,7.75
7166,15,"Wario, Dry Bowser",4,"Steel Driver, Tri-Speeder, Bone Rattelr",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4.75,5.5,4.25,4.5,2.5,4.5,2.25,3,2.5,2.25,3.25,3,42.25,7.75
7173,15,"Wario, Dry Bowser",4,"Steel Driver, Tri-Speeder, Bone Rattelr",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",4.5,5.5,4.5,3.75,2.75,4.25,2.5,3.25,2.5,2.5,3,3.25,42.25,7.75
7175,15,"Wario, Dry Bowser",4,"Steel Driver, Tri-Speeder, Bone Rattelr",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.5,5.25,4.5,4,2.75,4.5,2.5,3.5,2.5,2.25,2.75,3.25,42.25,7.75
7176,15,"Wario, Dry Bowser",4,"Steel Driver, Tri-Speeder, Bone Rattelr",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.25,5.25,4.25,4,3,4.25,2.5,3.5,2.75,2.25,2.75,3.5,42.25,7.75
7609,16,"Bowser, Morton, Mii (Heavy)",2,"Pipe Frame, Varmint, City Tripper",4,"Slim, Wood, Crimson Slim",1,"Super Glider, Waddle Wing, Hylian Kite",4.5,4.75,4.5,4.5,3,4.25,3.25,2.75,2.5,2.75,2.25,3.25,42.25,7.75
7611,16,"Bowser, Morton, Mii (Heavy)",2,"Pipe Frame, Varmint, City Tripper",4,"Slim, Wood, Crimson Slim",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.5,4.5,4.5,4.75,3,4.5,3.25,3,2.5,2.5,2,3.25,42.25,7.75
7612,16,"Bowser, Morton, Mii (Heavy)",2,"Pipe Frame, Varmint, City Tripper",4,"Slim, Wood, Crimson Slim",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.25,4.5,4.25,4.75,3.25,4.25,3.25,3,2.75,2.5,2,3.5,42.25,7.75
7873,16,"Bowser, Morton, Mii (Heavy)",9,"Biddybuggy (Buggybud), Mr. Scooty",7,"Button, Leaf Tires",1,"Super Glider, Waddle Wing, Hylian Kite",3.75,4.25,4.5,4.25,4,3.5,3,2.5,2.5,3.25,2.75,4,42.25,7.75
7875,16,"Bowser, Morton, Mii (Heavy)",9,"Biddybuggy (Buggybud), Mr. Scooty",7,"Button, Leaf Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.75,4,4.5,4.5,4,3.75,3,2.75,2.5,3,2.5,4,42.25,7.75
7876,16,"Bowser, Morton, Mii (Heavy)",9,"Biddybuggy (Buggybud), Mr. Scooty",7,"Button, Leaf Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.5,4,4.25,4.5,4.25,3.5,3,2.75,2.75,3,2.5,4.25,42.25,7.75
7882,16,"Bowser, Morton, Mii (Heavy)",9,"Biddybuggy (Buggybud), Mr. Scooty",9,"Sponge, Cushion",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4,4.75,4.25,4,3.5,2.75,2,3,2.75,3.5,4.25,42.25,7.75
7909,16,"Bowser, Morton, Mii (Heavy)",10,"Landship, Streetle",7,"Button, Leaf Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4,5.25,4.75,3.75,3.75,3.5,2.75,2.75,2.25,2.5,3.25,3.75,42.25,7.75
7911,16,"Bowser, Morton, Mii (Heavy)",10,"Landship, Streetle",7,"Button, Leaf Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,5,4.75,4,3.75,3.75,2.75,3,2.25,2.25,3,3.75,42.25,7.75
7912,16,"Bowser, Morton, Mii (Heavy)",10,"Landship, Streetle",7,"Button, Leaf Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,5,4.5,4,4,3.5,2.75,3,2.5,2.25,3,4,42.25,7.75
7918,16,"Bowser, Morton, Mii (Heavy)",10,"Landship, Streetle",9,"Sponge, Cushion",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,5,5,3.75,3.75,3.5,2.5,2.25,2.75,2,4,4,42.25,7.75
7989,16,"Bowser, Morton, Mii (Heavy)",12,"Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow",9,"Sponge, Cushion",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4.25,5.5,4.5,3.25,4,2.5,1.75,2.5,2.5,3.75,3.5,42.25,7.75
7991,16,"Bowser, Morton, Mii (Heavy)",12,"Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow",9,"Sponge, Cushion",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,4,5.5,4.75,3.25,4.25,2.5,2,2.5,2.25,3.5,3.5,42.25,7.75
7992,16,"Bowser, Morton, Mii (Heavy)",12,"Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow",9,"Sponge, Cushion",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,4,5.25,4.75,3.5,4,2.5,2,2.75,2.25,3.5,3.75,42.25,7.75
